Error fetching acc data: 'SensorHandler' object has no attribute 'acc_detect_accident'
2024-12-15 20:56:22: Acceleration=10.699817755457333, Status=NORMAL
2024-12-15 20:56:23: Acceleration=11.57371159136083, Status=NORMAL
2024-12-15 20:56:23: Acceleration=8.997249579732687, Status=NORMAL
2024-12-15 20:56:23: Acceleration=10.40033172547876, Status=NORMAL
2024-12-15 20:56:23: Acceleration=10.16515617194345, Status=NORMAL
2024-12-15 20:56:23: Acceleration=9.685690476161211, Status=NORMAL
2024-12-15 20:56:23: Acceleration=8.371654555701639, Status=NORMAL
2024-12-15 20:56:23: Acceleration=14.129532900984378, Status=NORMAL
2024-12-15 20:56:23: Acceleration=9.792185660004614, Status=NORMAL
2024-12-15 20:56:23: Acceleration=12.521473555456643, Status=NORMAL
2024-12-15 20:56:23: Acceleration=9.698113218559577, Status=NORMAL
2024-12-15 20:56:24: Acceleration=10.29495507518124, Status=NORMAL
2024-12-15 20:56:24: Acceleration=12.0477964790247, Status=NORMAL
2024-12-15 20:56:24: Acceleration=9.154812941835567, Status=NORMAL
2024-12-15 20:56:24: Acceleration=9.722782523537179, Status=NORMAL
2024-12-15 20:56:24: Acceleration=11.295614193128232, Status=NORMAL
2024-12-15 20:56:24: Acceleration=13.839396663149735, Status=NORMAL
2024-12-15 20:56:24: Acceleration=9.54464247627956, Status=NORMAL
2024-12-15 20:56:24: Acceleration=23.159097564456175, Status=NORMAL
2024-12-15 20:56:24: Acceleration=10.28315613029385, Status=NORMAL
2024-12-15 20:56:24: Acceleration=6.0554190606431195, Status=NORMAL
2024-12-15 20:56:25: Acceleration=8.38458705005798, Status=NORMAL
2024-12-15 20:56:25: Acceleration=8.81880377375526, Status=NORMAL
2024-12-15 20:56:25: Acceleration=10.085003718392969, Status=NORMAL
2024-12-15 20:56:25: Acceleration=14.613572458505827, Status=NORMAL
2024-12-15 20:56:25: Acceleration=5.02976142575371, Status=NORMAL
2024-12-15 20:56:25: Acceleration=7.21483194537475, Status=NORMAL
2024-12-15 20:56:25: Acceleration=5.20358530246214, Status=NORMAL
2024-12-15 20:56:25: Acceleration=11.607092659232112, Status=NORMAL
2024-12-15 20:56:25: Acceleration=2.7847621083316976, Status=NORMAL
2024-12-15 20:56:25: Acceleration=7.115539333037237, Status=NORMAL
2024-12-15 20:56:26: Acceleration=9.133208636618349, Status=NORMAL
2024-12-15 20:56:26: Acceleration=9.400925486355055, Status=NORMAL
2024-12-15 20:56:26: Acceleration=11.659206662547843, Status=NORMAL
2024-12-15 20:56:26: Acceleration=7.232993847640132, Status=NORMAL
2024-12-15 20:56:26: Acceleration=10.378101945924408, Status=NORMAL
2024-12-15 20:56:26: Acceleration=12.797945147561775, Status=NORMAL
2024-12-15 20:56:26: Acceleration=12.991743531951359, Status=NORMAL
2024-12-15 20:56:26: Acceleration=10.362485223149898, Status=NORMAL
2024-12-15 20:56:26: Acceleration=12.534504377916184, Status=POTENTIAL_ACCIDENT
2024-12-15 20:56:26: Acceleration=11.518046709403466, Status=NORMAL
2024-12-15 20:56:27: Acceleration=10.803767861260255, Status=NORMAL
2024-12-15 20:56:27: Acceleration=7.088032166969899, Status=NORMAL
2024-12-15 20:56:27: Acceleration=8.47259700446091, Status=NORMAL
2024-12-15 20:56:27: Acceleration=8.6483582256981, Status=NORMAL
2024-12-15 20:56:27: Acceleration=9.909969727501693, Status=NORMAL
2024-12-15 20:56:27: Acceleration=8.141209983780053, Status=NORMAL
2024-12-15 20:56:27: Acceleration=10.747506687599687, Status=NORMAL
2024-12-15 20:56:27: Acceleration=8.033100273244447, Status=NORMAL
2024-12-15 20:56:27: Acceleration=8.221003588370461, Status=NORMAL
2024-12-15 20:56:27: Acceleration=8.613042435748241, Status=NORMAL
2024-12-15 20:56:28: Acceleration=10.293522234881507, Status=NORMAL
2024-12-15 20:56:28: Acceleration=10.273310080008294, Status=NORMAL
2024-12-15 20:56:28: Acceleration=11.212394927043908, Status=NORMAL
2024-12-15 20:56:28: Acceleration=8.862116000143532, Status=NORMAL
2024-12-15 20:56:28: Acceleration=9.261544147711009, Status=NORMAL
2024-12-15 20:56:28: Acceleration=12.961207505475716, Status=NORMAL
2024-12-15 20:56:28: Acceleration=6.714722630161279, Status=NORMAL
2024-12-15 20:56:28: Acceleration=13.824040653875405, Status=NORMAL
2024-12-15 20:56:28: Acceleration=10.118912985098746, Status=NORMAL
2024-12-15 20:56:28: Acceleration=7.995129767552244, Status=NORMAL
2024-12-15 20:56:29: Acceleration=11.508088459861613, Status=NORMAL
2024-12-15 20:56:29: Acceleration=10.729589926926378, Status=NORMAL
2024-12-15 20:56:29: Acceleration=8.384032442685323, Status=NORMAL
2024-12-15 20:56:29: Acceleration=12.515662187834888, Status=NORMAL
2024-12-15 20:56:29: Acceleration=10.212081080759202, Status=NORMAL
2024-12-15 20:56:29: Acceleration=10.409908741194611, Status=NORMAL
2024-12-15 20:56:29: Acceleration=9.374795997780431, Status=NORMAL
2024-12-15 20:56:29: Acceleration=9.757720020578578, Status=NORMAL
2024-12-15 20:56:29: Acceleration=9.647828771283207, Status=NORMAL
2024-12-15 20:56:29: Acceleration=9.831403765485376, Status=NORMAL
2024-12-15 20:56:30: Acceleration=9.71776208805299, Status=NORMAL
2024-12-15 20:56:30: Acceleration=9.846628864743508, Status=NORMAL
2024-12-15 20:56:30: Acceleration=9.911109927752793, Status=NORMAL
2024-12-15 20:56:30: Acceleration=9.82436766412984, Status=NORMAL
2024-12-15 20:56:30: Acceleration=9.80229564948946, Status=NORMAL
2024-12-15 20:56:30: Acceleration=9.787921127593949, Status=NORMAL
2024-12-15 20:56:30: Acceleration=9.69751514564427, Status=NORMAL
2024-12-15 20:56:30: Acceleration=10.319476730920032, Status=NORMAL
2024-12-15 20:56:30: Acceleration=9.77047081772419, Status=NORMAL
2024-12-15 20:56:31: Acceleration=10.02319809242539, Status=NORMAL
2024-12-15 20:56:31: Acceleration=9.727378886421564, Status=NORMAL
2024-12-15 20:56:31: Acceleration=11.608311677414592, Status=NORMAL
2024-12-15 20:56:31: Acceleration=9.518035511595867, Status=NORMAL
2024-12-15 20:56:31: Acceleration=9.114899889740974, Status=NORMAL
2024-12-15 20:56:31: Acceleration=10.724719110540844, Status=NORMAL
2024-12-15 20:56:31: Acceleration=11.911528029602248, Status=NORMAL
2024-12-15 20:56:31: Acceleration=10.372145390419476, Status=NORMAL
2024-12-15 20:56:31: Acceleration=10.286525166449554, Status=NORMAL
2024-12-15 20:56:31: Acceleration=12.013313448004261, Status=NORMAL
2024-12-15 20:56:32: Acceleration=8.830753082268805, Status=NORMAL
2024-12-15 20:56:32: Acceleration=10.329574047365167, Status=NORMAL
2024-12-15 20:56:32: Acceleration=9.431479205299665, Status=NORMAL
2024-12-15 20:56:32: Acceleration=9.437849331283054, Status=NORMAL
2024-12-15 20:56:32: Acceleration=8.7812356761449, Status=NORMAL
2024-12-15 20:56:32: Acceleration=9.996824495808657, Status=NORMAL
2024-12-15 20:56:32: Acceleration=9.786781902137188, Status=NORMAL
2024-12-15 20:56:32: Acceleration=9.79224693316095, Status=NORMAL
2024-12-15 20:56:32: Acceleration=9.842489522473468, Status=NORMAL
2024-12-15 20:56:32: Acceleration=9.842205037490329, Status=NORMAL
2024-12-15 20:56:33: Acceleration=9.805824799577035, Status=NORMAL
2024-12-15 20:56:33: Acceleration=9.869255291054133, Status=NORMAL
2024-12-15 20:56:33: Acceleration=9.828555336365563, Status=NORMAL
2024-12-15 20:56:33: Acceleration=9.815462291710972, Status=NORMAL
2024-12-15 20:56:33: Acceleration=9.807782624018541, Status=NORMAL
2024-12-15 20:56:33: Acceleration=9.811299608104934, Status=NORMAL
2024-12-15 20:56:33: Acceleration=9.847385439800759, Status=NORMAL
